Song-Name,Artists,Genre,Album
Ghoonghat Ki Aadh Se,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Hum Hain Rahi Pyaar Ke
Chaska,Krishna Beura,BollywoodDance,Badmaash Company
Megha Re Megha Re,"Ila Arun, Lata Mangeshkar",BollywoodDance,Lamhe
Move Your Body Now,"Akriti Kakar, Hard Kaur, Shaan, Suhail",BollywoodDance,Kismat Konnection
Humen Kash Tumse Mohabbat,Lata Mangeshkar,BollywoodSad,Mughal-E-Azam
Manmarziyan,"Amit Trivedi, Shilpa Rao",BollywoodRomantic,Lootera
Bismillah,Anupam Amod,BollywoodDance,Once Upon
Mohabbat Ke,"Himesh Reshammiya, Tulsi Kumar",BollywoodDance,Aksar
Fatal Attraction,"Natalie Di Luccio, Salim Merchant",BollywoodDance,Ladies Vs Ricky Bahl
Khol De Baahein,Monali Thakur,BollywoodRomantic,Meri Pyaari Bindu
Pehla Pehla Pyar,S.P. Balasubrahmanyam,BollywoodRomantic,Hum Aapke Hain Koun
Bhaage Re Mann,Sunidhi Chauhan,BollywoodDance,Chameli
Yeh Tera Ghar Yeh Mera Ghar,Jagjit Singh,Bollywood,Saath Saath
Hai Re Hai Re,"Hema Sardesai, KK",BollywoodDance,Khushi
Hum Laye Hain Toofan Se Kashti Nikal Ke,Mohammed Rafi,BollywoodPatriotic,Jagriti
Meri Aawargi,Himesh Reshammiya,BollywoodDance,Good Boy Bad Boy
Ghum Shuda,Sonu Nigam,BollywoodDance,Chalte Chalte
Ghar,"Mohit Chauhan, Nikhita Gandhi",BollywoodSad,Jab Harry Met Sejal
Tera Rastaa Chodun Na,"Amitabh Bhattacharya, Anusha Mani",BollywoodRomantic,Chennai Express
Neela Aasman So Gaya,Amitabh Bachchan,BollywoodRomantic,Silsila
Mera Yaar Mila De,A.R. Rahman,BollywoodSad,Saathiya
Sakhiya,Tulsi Kumar,BollywoodDance,Bhool Bhulaiyaa
Dil Tadap Tadap Ke Kah Raha,"Lata Mangeshkar, Mukesh",BollywoodRomantic,Madhumati
Kaise Piya Se,Lata Mangeshkar,BollywoodRomantic,Bewafaa
Aaj Din Chadheya,Rahat Fateh Ali Khan,BollywoodRomantic,Love Aaj Kal
Jai Ho,Wajid,BollywoodDance,Jai Ho
Kiss Me Baby – Title Song,Adnan Sami,BollywoodDance,Garam Masala
Kehkasha Tu Meri,Shekhar Ravjiani,BollywoodMotivational,Akira
Raat Ke Dhai Baje,"Earl, Kunal Ganjawala, Rekha Bhardwaj, Suresh Wadkar",BollywoodDance,Kaminey
Rama Re,"Shaan, Zubeen Garg",Bollywood,Kaante
Hairat,Lucky Ali,BollywoodDance,Anjaana Anjaani
Hairat,Lucky Ali,BollywoodDance,Anjaana Anjaani
Dukki Tikki,Mika Singh,BollywoodDance,Raja Natwarlal
Ajib Dastan Hai Yeh,Lata Mangeshkar,BollywoodDance,Dil Apna Aur Preet Parai
Shikayatein,Amit Trivedi,BollywoodSad,Lootera
Genda Phool,"Rajat Dholakia, Shraddha Pandit, Sujata Majumdar, V.N. Mahathi",BollywoodDance,Delhi-6
Laagi Laagi,"Himesh Reshammiya, Sunidhi Chauhan",BollywoodRomantic,Aksar
Rafu,Ronkini Gupta,BollywoodDance,Tumhari Sulu
Saturday Saturday (Remix),"Akriti Kakar, Badshah, Indeep Bakshi, Toshi Sabri",BollywoodDance,Humpty Sharma Ki Dulhania
Saajna (Unplugged),Falak Shabir,BollywoodRomantic,I Me Aur Mein
Jannatein Kahan,K.K.,BollywoodDance,Jannat 2
Meri Zindagi Mein Ajnabee,"Kumar Sanu, Sunidhi Chauhan",BollywoodRomantic,Ajnabee
Mere Watan Mein Maine,"Alka Yagnik, Suresh Wadkar",BollywoodDance,Khuda Gawah
Namak,"Rakesh Pandit, Rekha Bhardwaj",BollywoodDance,Asoka
Tinka Tinka,Alisha Chinai,BollywoodRomantic,Karam
Main Chali,"Naresh Iyer, Shreya Ghoshal",BollywoodDance,Force
Suhana Safar Aur Yeh Mausam,Mukesh,BollywoodDance,Madhumati
Pal Pal… Har Pal,"Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Lage Raho Munna Bhai
Khoya Khoya Chand Khula Aasman,Mohammed Rafi,BollywoodRomantic,Kala Bazar
Ajab Leher Hai Meri,"Neeraj Shridhar, Rhys D'souza, Vishal Dadlani",BollywoodDance,Break Up Ke Baad
Aaja Aaja …Yaad Sataye,"Kavita Krishnamurthy, Udit Narayan",BollywoodRomantic,Raja Babu
Jalebi Bai,Sunidhi Chauhan,BollywoodDance,Double Dhammal
Desi Look (Remix),Kanika Kapoor,BollywoodDance,Ek Paheli Leela
Meri Shaadi Karvado,"Sapna Awasthi Singh, Udit Narayan",BollywoodDance,Jis Desh Mein Ganga Rehta Hai
Nazrein Milaana Nazrein Churaana,"Anupama Deshpande, Benny Dayal, Darshana, Naresh Iyer, Satish Chakravarthy, Swetha Bhargavee, Tanvi",BollywoodDance,Jaane Tu Ya Jaane Na
Kabhi Main Kahon Kabhi Tu Kahe,"Hariharan, Lata Mangeshkar",BollywoodRomantic,Lamhe
Mangalayam,"K.K., Kunal, Shaan, Sreenivas",BollywoodDance,Saathiya
Naina Mile,"A.R. Rahman, Suzanne D'Mello",BollywoodDance,Robot
Phir Wahi,Arijit Singh,BollywoodSad,Jagga Jasoos
Kahin Deep Jale Kahin Dil,Lata Mangeshkar,BollywoodSad,Bees Saal Baad
I Feel Good,"Shilpa Rao, Vishal Dadlani",BollywoodDanceRomantic,Anjaana Anjaani
Mere Bhaiyaa Mere Chanda,Asha Bhosle,Bollywood,Kaajal
Taiyabali Pyar Ka Dushman,Javed Ali,BollywoodDance,Once Upon A Time In Mumbaai Dobara
Kahe Paise Pe,Kishore Kumar,BollywoodDance,Laawaris
Muskaanein Jhooti Hai,Suman Sridhar,BollywoodRomantic,Talaash
Main Naa Bhoolunga I,"Lata Mangeshkar, Mukesh",BollywoodRomantic,Roti Kapada Aur Makaan
Allah Hafiz,K.K.,BollywoodDance,Bhool Bhulaiyaa
20-20,"Anu Malik, Mamta Sharma, Shadaab",BollywoodDance,Welcome Back
Des Mere Des,"A.R. Rahman, Sukhwinder Singh",BollywoodPatriotic,The Legend Of Bhagat Singh
Besharmi Ki Height (Remix),"Benny Dayal, Shalmali Kholgade",BollywoodDance,Main Tera Hero
Moh Moh Ke Dhaage (Female),Monali Thakur,BollywoodRomance,Dum Laga Ke Haisha
Kharaa Kharaa,Sonu Kakkar,BollywoodRomance,Fever
De Di Azadi Hamen Bina,Asha Bhosle,BollywoodPatriotic,Jagriti
Tum Ladki Ho,"Lata Mangeshkar, S.P. Balasubrahmanyam, Shailendra Singh, Usha Mangeshkar",Bollywood,Maine Pyar Kiya
Katiya Karun,Harshdeep Kaur,BollywoodDance,Rockstar
Lakhon Hain Nigahon Mein,Mohammed Rafi,BollywoodDance,Phir Wohi Dil Laya Hoon
Arziyan,"Javed Ali, Kailash Kher",Bollywood,Delhi-6
Jaadu Tone Waaliyan,Shabab Sabri,BollywoodDance,Daawat e Ishq
Junooniyat,"Falak Shabir, Meet Bros",BollywoodRomantic,Sanam Re
Tamma Tamma Loge,"Anuradha Paudwal, Bappi Lahiri",BollywoodDance,Thanedaar
Chhote Chhote Peg (Remix),"Navraj Hans, Neha Kakkar, Yo Yo Honey Singh",BollywoodDance,Sonu Ke Titu Ki Sweety
Mehfil Mein Bar Bar,"Alka Yagnik, Kumar Sanu",BollywoodDance,Soldier
O Soniye Dil Jaaniye,"Alka Yagnik, Kumar Sanu, Sonu Nigam",BollywoodRomantic,Kya Kehna
Dil Mera Churaya Kyun,Kumar Sanu,BollywoodSad,Akele Hum Akele Tum
Ooee Baba,"Abhijeet, Alka Yagnik, Sapna Mukherjee",BollywoodDance,Judaai
Mera Dil Bhi Kitna Pagal Hai,"Alka Yagnik, Kumar Sanu, S.P. Balasubrahmanyam",BollywoodRomantic,Saajan
Fitoori,"Aishwarya Bhandari, Ganesh Chandanshive, Vaishali Bhaisne",BollywoodDance,Bajirao Mastani
Small Town Girl,"Himani Kapoor, Shekhar Ravjiani, Sukhwinder Singh",BollywoodDance,Bachna Ae Haseeno
Do Pal,"Lata Mangeshkar, Sonu Nigam",BollywoodRomanticSad,Veer Zaara
Har Ek Friend Kamina Hota Hai,Sonu Nigam,BollywoodDance,Chashme Baddoor
Jab Se Tumko Dekha,"Asha Bhosle, Kishore Kumar",BollywoodRomantic,Kaalia
Lamha Lamha,Abhijeet,BollywoodRomance,Gangster
Raat Baaqi Baat Baaqi,"Asha Bhosle, Bappi Lahiri, Basavalingaiah Hiremath, Shashi Kapoor",BollywoodDance,Namak Halaal
Raat Baaqi Baat Baaqi,"Asha Bhosle, Bappi Lahiri, Basavalingaiah Hiremath, Shashi Kapoor",BollywoodDance,Namak Halaal
Aankhon Mein Neendein,"Rahat Fateh Ali Khan, Shankar Mahadevan, Shreya Ghoshal",BollywoodRomantic,We Are Family
Tumsa Nahin Dekha,Mohammed Rafi,BollywoodRomantic,Tumsa Nahin Dekha
Hey Ooi Amma Ooi Amma,Poornima,BollywoodDance,Raja Babu
Jaage Hain,"A.R. Rahman, K. S. Chithra",BollywoodSad,Guru
Koi Jab Tumhara Hriday Tod De,Mukesh,BollywoodSad,Purab Aur Pachim
Mashallah (Remix),"Shreya Ghoshal, Wajid",BollywoodDance,Ek Tha Tiger
Mere Khwabon Mein Jo Aaye,Alka Yagnik,BollywoodDance,Soldier
Chali Kahani,"Haricharan, Haripriya, Sukhwinder Singh",BollywoodDance,Tamasha
Saddi Dilli,Millind Gaba,BollywoodDance,Dilliwaali Zaalim Girlfriend
Dum Dum,"Romy, Vivek Hariharan",BollywoodRomantic,Phillauri
Dil Ko Aaya Sukoon,"Hiral Brahmbhatt, Rahat Fateh Ali Khan",Bollywood,Rangrezz
Kya Tujhe Ab Ye Dil Bataye,Falak Shabir,BollywoodRomantic,Sanam Re
Rabba Meray Haal Da Mehram Tu,"Amit Mishra, Sumeet Anand",BollywoodDevotional,Guest In London
Woh Lamhe Woh Baatein,Atif Aslam,BollywoodSad,Zeher
Chot Dil Pe Lagi,"Alisha Chinai, Kumar Sanu",BollywoodRomantic,Ishq Vishk
Lagi Aaj Sawan Ki,"Anupama Deshpande, Suresh Wadkar",BollywoodRomantic,Chandni
Pyaar Ki Ek Kahani,"Shreya Ghosal, Sonu Nigam",BollywoodDanceRomantic,Krrish
Tip Tip Barsa Pani,"Alka Yagnik, Udit Narayan",BollywoodDance,Mohra
Tujhko Mera Pyar Pukare,"Asha Bhosle, Mahendra Kapoor",BollywoodRomantic,Gumrah
Talli,"Anmol Malik, Hard Kaur, Mika Singh",BollywoodDance,Ugly Aur Pagli
Tonight,Suman Sridhar,BollywoodRomantic,Love Ka The End
Ayaashi,K.K.,BollywoodDance,Badmaash Company
Ishqe Di Lat,Ankit Tiwari,BollywoodRomantic,Junooniyat
Saawan Ke Jhoolon Ne,Mohammad Aziz,BollywoodDance,Nigahen
Pyar Ho (Redux),Sunidhi Chauhan,Bollywood,Munna Michael
Neela Dupatta,"Abhijeet, Alka Yagnik",BollywoodDance,Hameshaa
Aap Yun Hi Agar Humse Milte Rahe,"Asha Bhosle, Mohammed Rafi",BollywoodRomantic,Ek Musafir Ek Hasina
Dil Jo Na Keh Saka,"Shail Hada, Shreya Ghoshal",BollywoodSad,Dil Jo Na Keh Saka
Aankhon Ki Gustakhiyan Maaf Ho,"Karsan Sangathia, Kavita Krishnamurthy",BollywoodRomantic,Hum Dil De Chuke Sanam
Meher Hai Rab Di,"Khushhboo Grewal, Mika Singh",BollywoodDance,Welcome To New York
Tere Ghar Ke Samne,"Lata Mangeshkar, Mohammed Rafi",BollywoodDance,Tere Ghar Ke Samne
Inteha Ho Gayi Intezaar Ki,"Asha Bhosle, Bappi Lahiri",BollywoodSad,Sharaabi
Dil Ka Koi Tukda,"Hariharan, Kavita Krishnamurthy",BollywoodSad,Kya Kehna
Dhadkane Saansein Jawani,"Anuradha Paudwal, Pankaj Udhas",BollywoodDance,Beta
Dil Tera Diwana,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Dil Tera Deewana
Ek Lo Ek Muft,Bappi Lahiri,BollywoodDance,Guru
Maine Pyar Kiya,S.P. Balasubrahmanyam,BollywoodDance,Maine Pyar Kiya
Chaar Dina Ki,"Imran Khan, Pankaj Kapur, Prem Dehati",BollywoodDance,Matru Ki Bijlee Ka Mandola
Piya Tu Ab To Aaja,Asha Bhosle,BollywoodDance,Caravaan
Tu Meri (Remix),Vishal Dadlani,BollywoodDance,Bang bang
Kitne Bhi Tu Karle Sitam,Asha Bhosle,BollywoodSad,Sanam Teri Kasam
Jab Mila Tu,Vishal Dadlani,BollywoodRomantic,I Hate Luv Storys
O Mere Majhi Mere Sajan Hai,S. D. Burman,BollywoodSad,Bandini
Churao Na Dil,"Kavita Krishnamurthy, Udit Narayan",BollywoodRomantic,Deewane
Mujhe Raat Din Bas,Sonu Nigam,BollywoodRomantic,Sangharsh
Main Nai Jaana Pardes,Shafqat Amanat Ali,BollywoodSad,Tevar
Chikini Chameli (Remix),Shreya Ghoshal,BollywoodDance,Agneepath
Jane Na Nazar Pehchane Jigar,"Lata Mangeshkar, Mukesh",BollywoodRomantic,Aah
Tu Mohabbat Hai,"Atif Aslam, Monali Thakur",BollywoodRomantic,Tere Naal Love Ho Gaya
O Re Khuda,"Adnan Sami, Javed Basheer",BollywoodRomantic,Rush
Sar Se Sarke,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Silsila
Humko Tumse Ho Gaya Hai Pyar,"Kishore Kumar, Lata Mangeshkar, Mohammed Rafi, Mukesh",BollywoodDance,Amar Akbar Anthony
Dhik Ta Na Na – Duet,"Poornima, Udit Narayan",BollywoodRomantic,Laadla
Jaane Kahan Mera Jigar Gaya Ji,"Geeta Dutt, Mohammed Rafi",BollywoodRomantic,Mr. and Mrs. 55
Chaar Shanivaar,"Armaan Malik, Badshah, Vishal Dadlani",BollywoodDance,All is Well
Dancing Jodi,"Labh Janjua, Sunidhi Chauhan",BollywoodDance,Rab Ne Bana Di Jodi
Tera Bemar Mera Dil,"Kavita Krishnamurthy, Mohammad Aziz",BollywoodDance,Chaalbaaz
Ishq Ki Galee,"Jayesh Gandhi, Rahat Fateh Ali Khan",BollywoodSad,Bollywood HeightsMilenge Milenge
Piya Piya O Piya,"Pinky, Prashant, Preeti",BollywoodDance,Har Dil Jo Pyar Karega
Tune Bechain Itna Ziada Kiya,"Anuradha Paudwal, Mohammad Aziz",BollywoodRomantic,Nagina
Rozaana,Salim Merchant,BollywoodRomantic,Love Breakups Zindagi
Baawra,"Gulzar, Nihira Joshi Deshpande, Shankar Mahadevan",BollywoodSad,Kill Dil
O Humdum Suniyo Re,"K.K., Kunal, Pravin Mani, Shaan",BollywoodDance,Saathiya
Hookah Bar (Remix),"Aman Trikha, Himesh Reshammiya, Vineet Singh",BollywoodDance,Khiladi 786
Bismil,Sukhwinder Singh,BollywoodDance,Haider
Jadugar Ka Jadoo,Suresh Wadkar,BollywoodDance,Toofan
Pyar Chahiye Mujhe Jine Ke Liye,,BollywoodRomantic,Manokaamnaa
Assalaam Vaalekum,Himesh Reshammiya,BollywoodDance,Aap Kaa Surroor
Yeh Desh Hai Veer Jawanon Kaa,Mohammed Rafi,BollywoodPatriotic,Naya Daur
Kismat Se Tum Hum Ko Mile,"Anuradha Paudwal, Sonu Nigam",BollywoodSad,Pukar
Hip Hip Huraah,Sonu Kakkar,BollywoodDance,Mere Dad Ki Maruti
Ankahee,Amit Trivedi,BollywoodRomantic,Lootera
Foolishq,"Armaan Malik, Shreya Ghoshal",BollywoodRomantic,Ki & Ka
Foolishq,"Armaan Malik, Shreya Ghoshal",BollywoodRomantic,Ki & Ka
Dil Diwana,Sonu Nigam,BollywoodDance,Jawani Diwani
Guest In London,"Amit Mishra, Navendu Tripathi",BollywoodDance,Guest In London
Love You Till The End,Armaan Malik,BollywoodDanceRomantic,Jai Ho
Mera Yaar Bana Hai Dulha,Mohammed Rafi,BollywoodDance,Chaudhvin Ka Chand
Jab Tak Hai Jaan Mashup,Multiple,BollywoodDance,Jab Tak Hai Jaan
Pump It (The Workout Song),"Meet Bros, Yash Narvekar",BollywoodDance,Ki & Ka
Pyar Nahin Karna,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Kachche Dhaage
Bichdann,Rahat Fateh Ali Khan,BollywoodSad,Son of Sardaar
Raghupati Raghav,"Alka Yagnik, Shankar Mahadevan",BollywoodDance,Kuch Kuch Hota Hai
Show Me Your Jalwa,"Kailash Kher, Richa Sharma, Salim Merchant",BollywoodDance,Aaja Nachle
Fevicol Se (Remix),"Mamta Sharma, Wajid",BollywoodDance,Dabangg 2
Ay Sakhi,"Aanchal Sethi, Chinmayi Sripaada, Madhushree, Vaishali Samant",Bollywood,Raanjhanaa
Kahin Karti Hogi Woh Mera Intezar,Mukesh,BollywoodDance,Phir Kab Milogi
Khamakhaa,"Ayushman Khurana, Neeti Mohan",BollywoodRomance,Bewakoofiaan
Jhoot Nahin Bolna,"Himesh Reshammiya, Shreya Ghoshal",BollywoodDance,Aap Kaa Surroor
Ik Junoon,Vishal Dadlani,BollywoodDance,Zindagi Na Milegi Dobara
Aafaton Ke Parinde,"Divya Kumar, Suraj Jagan",BollywoodDance,Ishaqzaade
Dilrubaon Ke Jalwe,"Amit Kumar, Monali Thakur",BollywoodDance,Dulha Mil Gaya
Pak Chik Pak,"Anand, Jolly Mukherjee, Vinod Rathod",BollywoodDanceRomantic,Raja Babu
Bhangra Bistar,"Alisha Chinoy, Hard Kaur, Sunidhi Chauhan",BollywoodDance,Dil Bole Hadippa!
Baawre,"Loy Mendonsa, Shankar Mahadevan",BollywoodDance,Luck By Chance
Chhalka Chhalka Re,"Mahalaxmi, Richa Sharma, Shoma, Vaishali",BollywoodDance,Saathiya
Kya Mujhe Pyar Hai,K.K.,BollywoodRomantic,Woh Lamhe
Mere Khwabon Mein Tu,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Gupt
Lets Rock Soniye,"Shaan, Tulsi Kumar",BollywoodDance,Bhool Bhulaiyaa
Khaana Khaake,"Amit, Amitabh Bhattacharya, Antara, Aroh, Ashwin, Geet Sagar, June, Pritam, Sunny, Tushar",BollywoodDance,Jagga Jasoos
Tumse Jo Dekhte Hi Pyar Hua,"Lata Mangeshkar, S.P. Balasubrahmanyam",BollywoodDance,Patthar Ke Phool
Roja Jaaneman,Hariharan,BollywoodRomantic,Roja
Udte Badal Se Poochho,Alka Yagnik,Bollywood,Sangraam
Meri Wafayen Yaad Karoge,"Asha Bhosle, Kumar Sanu",BollywoodSad,Sainik
Phool Maangu Na Bahaar Maangu,"Alka Yagnik, Udit Narayan",BollywoodDance,Raja
Jaaneman Jaane Jaan,"Alka Yagnik, Sonu Nigam",BollywoodDance,Kya Kehna
Dil Samander,"K.K., Sunidhi Chauhan",BollywoodDance,Garam Masala
Seena Pada,"Shreya Ghoshal, Udit Narayan",BollywoodSad,Saaya
Bahut Pyar Karte Hai (Male Version),S.P. Balasubrahmanyam,BollywoodDance,Saajan
Baari Barsi,"Harshdeep Kaur, Salim Merchant",BollywoodDance,Band Baaja Baaraat
Jahan Mil Jayen Chaar Yaar,"Amitabh Bachchan, Kishore Kumar",BollywoodDance,Sharaabi
Saajan Aayo Re,"A.R. Rahman, Jonita Gandhi, Nakash Aziz",BollywoodRomantic,Ok Jaanu
Fukraa,"Hard Kaur, Jazzy B",BollywoodDance,Rush
Kehdoon Tumhen,"Asha Bhosle, Kishore Kumar",BollywoodRomantic,Deewaar
Is Pal,"Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Aaja Nachle
Senorita (Remix),"Abhay Deol, Farhan Akhtar, Hrithik Roshan",BollywoodDance,Zindagi Na Milegi Dobara
Aa Zara,Sunidhi Chauhan,BollywoodRomantic,Murder 2
Naina Lad Jaihen,Mohammed Rafi,BollywoodDance,Gunga Jumna
Dil Kya Kare,Adnan Sami,BollywoodRomantic,Salaam-E-Ishq
Chupke Se,"Murtuza, Qadir, Sadhana Sargam",BollywoodRomantic,Saathiya
Dard Ka Pata,"Mohammed Irfan, Sam",BollywoodSad,Gandhigiri
Aaj Na Chhodenge,"Kishore Kumar, Lata Mangeshkar",BollywoodDance,Kati Patang
Mere Sang,Sunidhi Chauhan,BollywoodRomantic,New York
Jab Se Hum Tere,"Alka Yagnik, Kumar Sanu",BollywoodDance,Krantiveer
Allah Hi Reham,Ustad Rashid Khan,BollywoodRomantic,My Name is Khan
Ajnabi Shehar,Sonu Nigam,BollywoodRomantic,Jaan-E-Mann
Auva Auva Koi Yahan Nache,Bappi Lahiri,BollywoodDance,Disco Dancer
Roy Mashup,Multiple,BollywoodDance,Roy
Mujse Shaadi Karogi,"Alka Yagnik, Kumar Sanu, Shankar Mahadevan, Suresh Wadkar",BollywoodRomantic,Dulhan Hum Le Jayenge
Mohe Panghat Pe,Lata Mangeshkar,BollywoodDevotional,Mughal-E-Azam
Tauba Main Vyaah Karke Pachtaya,"Poorvi Koutish, Shahid Malya",BollywoodDance,Shaadi Ke Side Effects
Chura Lo Dil Mera,"Kumar Sanu, Sanjivani",BollywoodRomantic,Kareeb
Tere Bina Tere Bina,"Alka Yagnik, Shaan",BollywoodDance,Khushi
Pyaar Tune Kya Kiya,"Alka Yagnik, Sonu Nigam",BollywoodDance,Pyaar Tune Kya Kiya
Der Na Ho Jaye Kahin,"Lata Mangeshkar, Mohammad Sayeed, Suresh Wadkar",BollywoodDance,Henna
Mujhko Neend Aa Rahi Hai,"Sonu Nigam, Sunidhi Chauhan",BollywoodRomantic,Ajnabee
Samajh Kar Chand Jis Ko,"Alka Yagnik, Vinod Rathod",BollywoodRomantic,Baazigar
Labon Ko,K.K.,BollywoodRomantic,Bhool Bhulaiyaa
Rehna Tu,"A.R. Rahman, Benny Dayal, Tanvi",BollywoodRomantic,Delhi-6
Hass Nache Le,Shahid Mallya,BollywoodDance,Udta Punjab
Dhai Akhar,Mohammed Irfan,BollywoodRomantic,Ishq Click
Chennai Express Mashup,Multiple,BollywoodDance,Chennai Express
Aaja Aaja Re Tujhko,"Asha Bhosle, Mahendra Kapoor",BollywoodRomantic,Gumrah
Keh Do Ke Tum,"Amit Kumar, Anuradha Paudwal",BollywoodRomantic,Tezaab
Ang Lag Ja Balma,Asha Bhosle,BollywoodRomantic,Mera Naam Joker
Tanhaiyan,"Himesh Reshammiya, Sunidhi Chauhan",BollywoodSad,Aap Kaa Surroor
Dil Dil Deewana,"Alka Yagnik, Udit Narayan",BollywoodDance,Har Dil Jo Pyar Karega
Tere Mohalle,"Aishwarya Nigam, Mamta Sharma",BollywoodDance,Besharam
Mera Dil Ab Tera Ho Sajna,Lata Mangeshkar,BollywoodDance,Dil Apna Aur Preet Parai
Pyaar Yeh Jaane Kaise,"Kavita Krishnamurthy, Suresh Wadkar",BollywoodDance,Rangeela
Are Diwano Mujhe Pehchano,Kishore Kumar,BollywoodDance,Don
Aaj Din Chadheya,"Harshdeep Kaur, Irshad Kamil",BollywoodRomantic,Love Aj Kal
Na Jaa,Asees Kaur,BollywoodSad,Jia Aur Jia
Mai Ri Mai,Harshdeep Kaur,BollywoodSad,Parched
Jiske Liye Sabko Chhoda,"Mohammed Rafi, Sulakshana Pandit",Bollywood,Saajan Ki Saheli
Thori Se Jo Peeli Hai,Kishore Kumar,BollywoodDance,Namak Halaal
Desi Beat,"Amrita Kak, Mika Singh",BollywoodDance,Bodyguard
Lamha Lamha,Amit Mishra,BollywoodRomantic,Sargoshiyan
Kaisi Yeh Judai Hain,Falak Shabir,BollywoodSad,Jannat
Chaudhvin Ka Chand,Mohammed Rafi,BollywoodRomantic,Chaudhvin Ka Chand
Jeth Ki Dophar Mein,"Kumar Sanu, Poornima",BollywoodRomantic,Coolie No. 1
Jingle Jingle,"Farhid, Master Saleem, Mohit Chauhan",BollywoodDance,Badmaash Company
Gadbad Ho Gayee,"Amit Kumar, Jolly, Kavita Krishnamurthy",BollywoodDance,Chaalbaaz
Hamare Gaon Koi,"Asha Bhosle, Lata Mangeshkar",BollywoodDance,Professor
Blue (Theme),"Dilshad, Jaspeert Singh, Neha Kakkar, Raqeeb Aalam, Sonu Kakkar",BollywoodDance,Blue
Main Kya Hoon,KK,BollywoodDance,Love Aj Kal
Chand Si Mehbooba Ho Meri,Mukesh,BollywoodRomantic,Himalay Ki Godmein
Dagariyo Chalo,"Alka Yagnik, Udit Narayan",BollywoodDance,Chalte Chalte
Daaru Band Kal Se,"Sonu Nigam, Teesha Nigam",BollywoodDance,Singh Saab The Great
Adhoore Tum Adhoore Hum,"Alyssa Mendonsa, Vishal Dadlani",BollywoodDance,Break Up Ke Baad
Hai Rama,"Hariharan, Swarnalatha",BollywoodDance,Rangeela
Madhuban Mein Radhika Nache Re,Mohammed Rafi,BollywoodDance,Kohinoor
Main khiladi Tu Anari,"Abhijeet, Anu Malik",BollywoodDance,Main Khiladi Tu Anari
Main Pal Do Pal Ka Shayar,Mukesh,BollywoodSad,Kabhi Kabhie
Aashiyana,Salim Merchant,BollywoodDance,Fashion
Mehbooba Mehbooba,"Adnan Sami, Sunidhi Chauhan",BollywoodDance,Ajnabee
Mehbooba Mehbooba,"Adnan Sami, Sunidhi Chauhan",Bollywood,Ajnabee
Lapak Jhapak,"Armaan Malik, Siddharth Mahadevan, Yashita Sharma",BollywoodDance,Ghayal Once Again
Koi Mil Gaya,"K. S. Chithra, Udit Narayan",BollywoodRomantic,Koi Mil Gaya
Senorita,"Abhay Deol, Farhan Akhtar, Hrithik Roshan",BollywoodDance,Zindagi Na Milegi Dobara
Ek Onkaar,Harshdeep Kaur,BollywoodDevotional,Rang De Basanti
Twinkle Twinkle,"Rana Mazumder, Shreya Ghoshal",BollywoodDance,The Dirty Picture
Chupke Se Sun,"Alka Yagnik, Udit Narayan",BollywoodRomantic,Mission Kashmir
Pal Bhar Ke Liye,"Kishore Kumar, Usha Khanna",BollywoodRomantic,Johny Mera Naam
The Dirty Mashup,Multiple,BollywoodDance,Single
Tu Koi Aur Hai,,BollywoodSad,Tamasha
Love Ka The End,Aditi Singh Sharma,Bollywood,Love Ka The End
Mene Lagan Lagi,Jaspinder Nirula,BollywoodSad,Dil Kya Kare
Teri Kasam Main Hoon,Vinod Rathod,BollywoodDance,Prem Granth
Chahe Zubaan,Sonu Nigam,BollywoodRomantic,Dil Hai Tumhaara
Mujhe Tu Jo Mila,Aaman Trikha,BollywoodRomantic,Khel To Abb Shuru Hoga
Tu Roop Ki Rani Main Choron Ka Raja,"Lata Mangeshkar, Talat Mahmood",BollywoodDance,Roop Ki Rani Choron Ka Raja
Fake Ishq,"Altamash Faridi, Kailash Kher, Nakash Aziz",BollywoodSad,Housefull 3
Harry Is Not Bhramchari,"Ishq Bector, Jazzy B",BollywoodDance,Shaadi Ke Side Effects
Din Sara Guzara Tore Angana,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Junglee
Desi Romance,"Arijit Singh, Suchi",BollywoodDance,Shaadi Ke Side Effects
Do Hanson Ka Joda,Lata Mangeshkar,BollywoodSad,Gunga Jumna
Taki Oh Taki,"Asha Bhosle, Kishore Kumar",BollywoodDance,Himmatwala
Taki Oh Taki,"Asha Bhosle, Bappi Lahiri",BollywoodDance,Himmatwala
Yeh Raaste Hai Pyaar Ke,"Jaspinder Narula, Shaan",BollywoodDance,Yeh Raaste Hain Pyaar Ke
Pinjra Tod Ke,Sunidhi Chauhan,Bollywood,Simran
Mere Buddy,"Amitabh Bachchan, Armaan Malik",BollywoodDance,Bhoothnath
Chugliyaan,"Javed Ali, Sahir Ali Bagga",BollywoodDance,Once Upon A Time In Mumbaai Dobara
